"po_id";"po_date";"vendor_id";"vendor_name";"vendor_location";"vendor_rating";"item_id";"item_name";"category";"qty_ordered";"qty_received";"unit_cost";"expected_delivery_date";"delivery_date";"lead_time_days";"on_time";"return_qty";"defect_flag";"invoice_amount";"grn_date";"invoice_status";"purchase_type"
"PO00001";"2024-07-06";"V009";"Vendor I_9";"Delhi";4.0;"I0186";"Item_186";"Raw Material";479;479;1358.41;"2024-07-21";"2024-07-19";13;1;0;0;650678.39;"2024-07-19";"Pending";"Spot"
"PO00002";"2023-07-14";"V007";"Vendor G_7";"Delhi";2.65;"I0025";"Item_25";"Electronics";338;338;1338.84;"2023-07-29";"2023-07-22";8;1;0;0;452527.92;"2023-07-23";"Disputed";"Regular"
"PO00003";"2024-11-20";"V042";"Vendor P_42";"Lucknow";3.74;"I0166";"Item_166";"Finished Goods";51;4;545.21;"2024-12-04";"2024-12-15";25;0;0;0;2180.84;"2024-12-15";"Posted";"Regular"
"PO00004";"2023-07-14";"V035";"Vendor I_35";"Kolkata";4.91;"I0115";"Item_115";"Electronics";72;72;166.76;"2023-07-23";"2023-07-16";2;1;0;0;12006.72;"2023-07-16";"Posted";"Spot"
"PO00005";"2025-04-07";"V036";"Vendor J_36";"Delhi";4.52;"I0026";"Item_26";"Finished Goods";26;26;1626.09;"2025-04-20";"2025-04-26";19;0;0;0;42278.34;"2025-04-26";"Posted";"Regular"
"PO00006";"2023-06-20";"V027";"Vendor A_27";"Chennai";3.0;"I0125";"Item_125";"Chemicals";247;221;1372.49;"2023-06-28";"2023-06-22";2;1;0;0;303320.29;"2023-06-22";"Pending";"Regular"
"PO00007";"2024-02-04";"V017";"Vendor Q_17";"Ahmedabad";3.26;"I0117";"Item_117";"Chemicals";147;147;708.52;"2024-02-18";"2024-02-20";16;0;0;0;104152.44;"2024-02-22";"Disputed";"Consignment"
"PO00008";"2024-05-13";"V010";"Vendor J_10";"Lucknow";4.27;"I0049";"Item_49";"Raw Material";152;152;68.09;"2024-05-26";"2024-06-18";36;0;0;0;10349.68;"2024-06-20";"Disputed";"Regular"
"PO00009";"2025-02-04";"V021";"Vendor U_21";"Hyderabad";4.03;"I0015";"Item_15";"Raw Material";26;26;619.98;"2025-02-20";"2025-02-26";22;0;0;0;16119.48;"2025-02-28";"Posted";"Regular"
"PO00010";"2024-06-04";"V006";"Vendor F_6";"Bengaluru";2.89;"I0048";"Item_48";"Packaging";36;36;937.2;"2024-06-17";"2024-06-22";18;0;0;0;33739.2;"2024-06-22";"Pending";"Regular"
